site_id,lat,lon,elev_m,dist_river_m,pop_served,base_risk,flooded_2021
614,3.4375,102.3934,56.5399,3094.4393,14806.0,0.091,0
615,3.5686,102.3727,41.7027,2907.9569,1833.0,0.4839,0
616,3.3544,102.4328,38.8151,188.9428,1505.0,0.5155,0
617,3.4995,102.1762,62.4937,1111.3127,1961.0,0.0551,0
618,3.2537,102.2445,67.4734,7693.913,1034.0,0.0248,0
619,3.6474,102.545,55.4581,11526.1154,867.0,0.0708,0
620,3.6753,102.3753,42.3494,1408.9404,963.0,0.3281,0
621,3.431,102.3929,53.4334,3313.2464,8226.0,0.1211,0
622,3.2052,102.4181,41.7699,4502.7584,1472.0,0.3102,0
623,3.5364,102.6484,30.6413,986.2184,1424.0,0.6762,0
624,3.5611,102.6431,22.0808,3567.2147,996.0,0.8883,0
625,3.2995,102.5801,44.2451,2229.6652,395.0,0.2777,0
626,3.4724,102.3782,37.6675,1304.1748,12135.0,0.4663,0
627,3.4811,102.3918,28.0,1101.6454,9698.0,0.7405,0
628,3.4356,102.4152,33.475,1543.3229,22152.0,0.5606,0
629,3.2467,102.4143,39.9641,2660.4788,13397.0,0.3755,0
630,3.3294,102.4516,28.7254,42.2494,2260.0,0.7733,0
631,3.4254,102.4723,49.6714,3378.9981,1512.0,0.1759,0
632,3.4593,102.465,35.7102,2746.032,7591.0,0.4893,0
633,3.3745,102.6322,54.2975,5977.5981,1100.0,0.1,0
634,3.497,102.1893,54.6191,500.7512,1849.0,0.1299,0
635,3.642,102.5445,59.5426,11522.4328,875.0,0.0469,0
636,3.5836,102.6918,46.4005,5436.8412,963.0,0.2085,0
637,3.2588,102.433,37.9556,5107.2896,18099.0,0.3971,0
638,3.2462,102.4228,39.0939,3534.2254,15298.0,0.3846,0
639,3.4539,102.4086,35.0995,630.1711,27209.0,0.5503,0
640,3.5444,102.6617,23.7472,1517.5815,1133.0,0.8276,0
641,3.2227,102.5478,30.0964,4930.42,604.0,0.8565,1
642,3.4935,102.2103,50.852,1082.4353,1601.0,0.1696,0
643,3.6874,102.6111,41.2156,11401.8511,1308.0,0.2571,0
644,3.6719,102.6191,46.8368,12861.2866,1034.0,0.1511,0
645,3.3083,102.3444,68.8711,8047.0726,490.0,0.021,0
646,3.3096,102.4087,40.8634,4911.3493,1397.0,0.327,0
647,3.5686,102.4952,50.3004,5343.9385,943.0,0.1494,0
648,3.4451,102.4128,36.8741,1231.6998,26770.0,0.4694,0
